Year,Trade Flow,Reporter Code,Reporter,exportLat,exportLong,Reporter ISO,Partner Code,Partner,importLat,importLong,Partner ISO,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2020,Import,842,USA,37.09024,-95.712891,USA,643,Russian Federation,61.52401,105.318756,RUS,"Waste, parings and scrap, of plastics",Weight in kilograms,8750,8750,12125
2020,Export,842,USA,37.09024,-95.712891,USA,670,Saint Vincent and the Grenadines,12.984305,-61.287228,VCT,"Waste, parings and scrap, of plastics",Weight in kilograms,7775,7775,22962
2020,Export,842,USA,37.09024,-95.712891,USA,40,Austria,47.516231,14.550072,AUT,"Waste, parings and scrap, of plastics",Weight in kilograms,4868,4868,221397
2020,Export,842,USA,37.09024,-95.712891,USA,554,New Zealand,-40.900557,174.885971,NZL,"Waste, parings and scrap, of plastics",Weight in kilograms,4615,4615,14149
2020,Export,842,USA,37.09024,-95.712891,USA,348,Hungary,47.162494,19.5033041,HUN,"Waste, parings and scrap, of plastics",Weight in kilograms,3881,3881,7779
2020,Export,842,USA,37.09024,-95.712891,USA,48,Bahrain,26.0667,50.5577,BHR,"Waste, parings and scrap, of plastics",Weight in kilograms,3469,3469,15596
2020,Export,842,USA,37.09024,-95.712891,USA,796,Turks and Caicos Islands,21.694025,-71.797928,TCA,"Waste, parings and scrap, of plastics",Weight in kilograms,3452,3452,46155
2020,Export,842,USA,37.09024,-95.712891,USA,44,Bahamas,25.03428,-77.39628,BHS,"Waste, parings and scrap, of plastics",Weight in kilograms,1361,1361,7552
2020,Export,842,USA,37.09024,-95.712891,USA,414,Kuwait,29.31166,47.481766,KWT,"Waste, parings and scrap, of plastics",Weight in kilograms,629,629,13705
2020,Export,842,USA,37.09024,-95.712891,USA,579,Norway,60.472024,8.468946,NOR,"Waste, parings and scrap, of plastics",Weight in kilograms,536,536,8607
2020,Export,842,USA,37.09024,-95.712891,USA,332,Haiti,18.971187,-72.285215,HTI,"Waste, parings and scrap, of plastics",Weight in kilograms,500,500,10364
2020,Import,842,USA,37.09024,-95.712891,USA,702,Singapore,1.352083,103.819836,SGP,"Waste, parings and scrap, of plastics",Weight in kilograms,492,492,389
2020,Export,842,USA,37.09024,-95.712891,USA,533,Aruba,12.52111,-69.968338,ABW,"Waste, parings and scrap, of plastics",Weight in kilograms,259,259,3289
2020,Import,842,USA,37.09024,-95.712891,USA,348,Hungary,47.162494,19.5033041,HUN,"Waste, parings and scrap, of plastics",Weight in kilograms,108,108,9716
2020,Export,842,USA,37.09024,-95.712891,USA,92,Br. Virgin Isds,18.420695,-64.639968,VGB,"Waste, parings and scrap, of plastics",Weight in kilograms,35,35,2895
